idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
322,1774840660.3115928,map,base_footprint,5.330009100899788,1.0837017715487411,0.0,0.0,0.0,0.9828127672913175,0.18460515824099463,2.7702524526133647
323,1774840662.5300643,map,base_footprint,5.299295150802935,1.0685133912133624,0.0,0.0,0.0,0.9755141027186796,0.21993688957737315,2.6980931025922312
324,1774840665.0954041,map,base_footprint,5.285361331784701,1.1115153911588826,0.0,0.0,0.0,0.9689924586506933,0.2470902974179369,2.642240078212179
325,1774840667.743501,map,base_footprint,5.229640838586024,1.1338033245074022,0.0,0.0,0.0,0.9427583297676967,0.3334767333017745,2.4616146292305143
326,1774840670.4211524,map,base_footprint,5.196209096538814,1.1694581491582923,0.0,0.0,0.0,0.9230624261869338,0.38465017530464146,2.3519350337716327
327,1774840674.676121,map,base_footprint,5.1684358803691985,1.1920043865238363,0.0,0.0,0.0,0.9111940018006555,0.4119775371091331,2.2923461130654914
328,1774840677.430313,map,base_footprint,5.140112377980324,1.232911731043722,0.0,0.0,0.0,0.8927470861272633,0.4505581429863195,2.2068117782021055
329,1774840679.9082825,map,base_footprint,5.098296258606298,1.2617953761078446,0.0,0.0,0.0,0.8694420234906797,0.49403498640119853,2.108143537000211
330,1774840682.7061758,map,base_footprint,5.088333596998243,1.3137247855691596,0.0,0.0,0.0,0.8592921323162825,0.5114851232825218,2.067768227283786
331,1774840685.828938,map,base_footprint,5.064771881264554,1.3454227555255414,0.0,0.0,0.0,0.8373733761251125,0.5466313464820972,1.984920554212799
332,1774840689.7294993,map,base_footprint,5.043889080158789,1.3566276589755044,0.0,0.0,0.0,0.7868814824901802,0.6171041504592694,1.8114782355424577
333,1774840694.1925943,map,base_footprint,5.060877220863914,1.404666930479817,0.0,0.0,0.0,0.7906529698885741,0.6122645516493483,1.8237494949625104
334,1774840696.3809357,map,base_footprint,5.040412893249103,1.4056926763598705,0.0,0.0,0.0,0.7903004944548819,0.612719453309889,1.8225985397744013
335,1774840699.952112,map,base_footprint,5.043465739440062,1.4276581159645454,0.0,0.0,0.0,0.7986505734710821,0.6017950327929864,1.8500990679246785
336,1774840704.8674898,map,base_footprint,5.030765714738456,1.4426370683794971,0.0,0.0,0.0,0.8117847204620762,0.5839568199998258,1.8944038180228255
337,1774840707.0925217,map,base_footprint,5.021060989318684,1.477463760649548,0.0,0.0,0.0,0.8517150387366016,0.5240052411855339,2.038499163631166
338,1774840709.5831828,map,base_footprint,5.012349726548505,1.5011572518282377,0.0,0.0,0.0,0.9070669545703332,0.4209863892413877,2.2725276631701026
339,1774840720.4703968,map,base_footprint,5.001481877599384,1.4937020709235829,0.0,0.0,0.0,0.8733173079366564,0.4871518035050996,2.1239418104197787
340,1774840754.3074715,map,base_footprint,5.008064145418413,1.4999329944202497,0.0,0.0,0.0,0.8759791590112136,0.4823489535367597,2.1349241407240176
341,1774840757.5551655,map,base_footprint,5.00737160602484,1.4986372524849045,0.0,0.0,0.0,0.8901062296396104,0.4557531129424758,2.195156404857357
342,1774840761.026951,map,base_footprint,4.989060805159772,1.5309657219866861,0.0,0.0,0.0,0.9176954739903831,0.3972845542146917,2.3244807324494148
343,1774840763.331087,map,base_footprint,4.957672247091074,1.5546535044346466,0.0,0.0,0.0,0.9407061278016821,0.3392226129201374,2.449411878559622
344,1774840766.0122397,map,base_footprint,4.915887686689064,1.5848882189823001,0.0,0.0,0.0,0.9665150963648486,0.25660975916524975,2.6225669233018585
345,1774840768.903523,map,base_footprint,4.872541780787822,1.600885876713674,0.0,0.0,0.0,0.9867012570872157,0.1625442378631381,2.8150553786874415
346,1774840772.8972077,map,base_footprint,4.815785965963821,1.6247923147440788,0.0,0.0,0.0,0.999033394849174,0.043957661176801464,3.0536489938116396
347,1774840777.1809537,map,base_footprint,4.833829812599874,1.624919418475692,0.0,0.0,0.0,0.9940441170563982,0.10897840770338788,2.923202096253995
