idx,t_sec,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad
158,1774840145.31367,map,base_footprint,7.55331447388256,1.33781729970747,0,0,0,0.712332639223158,0.701842012918413,1.58563244885859
159,1774840147.7007,map,base_footprint,7.54377450968503,1.41359114735877,0,0,0,0.711576342207507,0.702608788167772,1.58347844832838
160,1774840150.50867,map,base_footprint,7.55139096761951,1.42692526238358,0,0,0,0.711365528162594,0.702822228833119,1.58287845006228
161,1774840152.71471,map,base_footprint,7.54395633345025,1.46780300502242,0,0,0,0.708114857213519,0.706097265958081,1.57364963267957
162,1774840154.93649,map,base_footprint,7.55058512594996,1.49473510673721,0,0,0,0.694566612819482,0.719428398352798,1.53563464120588
163,1774840157.35005,map,base_footprint,7.55459269247663,1.56136189802409,0,0,0,0.686069385972253,0.727536114314373,1.51214511095868
164,1774840160.40042,map,base_footprint,7.54387662933673,1.6356938905335,0,0,0,0.691588133497567,0.72229208330519,1.52737097256161
165,1774840163.70374,map,base_footprint,7.55109012250939,1.71590348395914,0,0,0,0.718168357105469,0.695869392093396,1.60233313242411
166,1774840166.61417,map,base_footprint,7.54641564242614,1.77238920552966,0,0,0,0.720225109880557,0.693740434959315,1.60825350297175
167,1774840169.38349,map,base_footprint,7.54210363466544,1.82835254177326,0,0,0,0.69716796017484,0.716907829016849,1.54287902998222
168,1774840171.97972,map,base_footprint,7.53824942242821,1.90490026095399,0,0,0,0.662001607402578,0.749502416137802,1.44697240680109
169,1774840174.30958,map,base_footprint,7.55827209251581,1.97330110755113,0,0,0,0.659181703108913,0.75198369815205,1.43946011360994
170,1774840176.51469,map,base_footprint,7.55583364061975,2.04402415240205,0,0,0,0.653639670895873,0.756805906842128,1.42476752222336
171,1774840179.43311,map,base_footprint,7.57491874587011,2.12165600035246,0,0,0,0.686450868307533,0.727176185941093,1.51319406703464
172,1774840182.89076,map,base_footprint,7.57617155997337,2.22053130551821,0,0,0,0.656049499649766,0.754717863846678,1.43114473377334
173,1774840185.47957,map,base_footprint,7.5875651066449,2.29532969430655,0,0,0,0.61766803393831,0.786438935869012,1.33154803181937
174,1774840188.02307,map,base_footprint,7.60356915210484,2.36094716040614,0,0,0,0.625139032512947,0.780513414381058,1.35061929959064
175,1774840195.08998,map,base_footprint,7.61686467956507,2.41112230815812,0,0,0,0.610395443988747,0.792096838750024,1.31311946374758
176,1774840197.87601,map,base_footprint,7.61663273208844,2.45262006236481,0,0,0,0.608081553124461,0.793874564871393,1.30728357233815
177,1774840201.3561,map,base_footprint,7.62914395536598,2.49316173303902,0,0,0,0.615706556659943,0.787975530131461,1.32656465214165
178,1774840204.64644,map,base_footprint,7.65402753607955,2.56768930337173,0,0,0,0.642769724819988,0.766059449948133,1.3962167079825
179,1774840207.21454,map,base_footprint,7.66426923215598,2.64133080916472,0,0,0,0.638817590498121,0.769358230000937,1.38592081092363
180,1774840209.7009,map,base_footprint,7.68884214198703,2.72182542139506,0,0,0,0.651725362378775,0.758455042855049,1.41971411541833
181,1774840212.8152,map,base_footprint,7.69889099011129,2.80132121536612,0,0,0,0.653389781601498,0.757021659728932,1.42410723753144
182,1774840215.78301,map,base_footprint,7.7130603860237,2.87478503966326,0,0,0,0.667321413651824,0.74476985094842,1.46121287392674
183,1774840218.29801,map,base_footprint,7.70643765113364,2.94748819985233,0,0,0,0.677286546250425,0.735719331177434,1.48813635902769
184,1774840220.69105,map,base_footprint,7.71280871080348,3.0314694248725,0,0,0,0.685280318971864,0.728279399976287,1.50997706997993
185,1774840223.46979,map,base_footprint,7.71960169033289,3.08258846006798,0,0,0,0.703086317191944,0.711104514524742,1.55945682262772
186,1774840225.59583,map,base_footprint,7.71428594656819,3.18151661233238,0,0,0,0.722591416607763,0.691275375407504,1.61508751716015
187,1774840228.50491,map,base_footprint,7.7035168931817,3.26687894135096,0,0,0,0.746529074574287,0.66535279424923,1.68566005774924
188,1774840231.64715,map,base_footprint,7.68885049067204,3.36445382606165,0,0,0,0.763621854193376,0.645663738952615,1.73780832829527
189,1774840266.68075,map,base_footprint,7.68246758864107,3.38221296706297,0,0,0,0.73814795466485,0.674638864151851,1.66064195985472
190,1774840270.39506,map,base_footprint,7.68525408378878,3.40315327705379,0,0,0,0.699888752011071,0.714251870706956,1.55048346031636
191,1774840273.06943,map,base_footprint,7.68427269472711,3.4245914352853,0,0,0,0.654880288333413,0.755732629937564,1.42804840962995
