idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
162,162.000000000,map3d,camera,0.469673693,0.011859719,7.393239975,-0.002532694493,-0.671433263533,-0.003660269357,0.741051658461,-0.020579509486,000162,129.270601403
163,163.000000000,map3d,camera,0.406481653,0.010392796,7.386746883,-0.001496911559,-0.651674211764,-0.003567465606,0.758489125938,-0.022973401178,000163,130.068568078
164,164.000000000,map3d,camera,0.323319316,0.010687968,7.374911308,-0.000370854991,-0.601118695449,-0.004414023468,0.799147478783,-0.023831345835,000164,130.866534753
165,165.000000000,map3d,camera,0.259790480,0.008330209,7.382782936,-0.000133438439,-0.565634848457,-0.004595822712,0.824643000831,-0.020628689310,000165,131.664501429
166,166.000000000,map3d,camera,0.179720640,0.012232715,7.407380581,-0.000943997588,-0.578399736203,-0.005361129545,0.815735320014,-0.023131763867,000166,132.462468104
167,167.000000000,map3d,camera,0.104908302,0.010997776,7.435202599,-0.000694498808,-0.559157215414,-0.004450697724,0.829049405893,-0.017622851729,000167,133.260434779
168,168.000000000,map3d,camera,0.018553674,0.012875676,7.451993942,-0.001151894028,-0.523067674524,-0.005127244476,0.852274951159,-0.016640414164,000168,134.058401455
169,169.000000000,map3d,camera,-0.039487004,0.011221616,7.481261253,-0.001033693401,-0.540558065101,-0.004670082721,0.841293111858,-0.016218692725,000169,134.856368130
170,170.000000000,map3d,camera,-0.127230272,0.012413634,7.536868572,-0.001835446288,-0.572105666556,-0.005977725953,0.820156085282,-0.022309590467,000170,135.654334805
171,171.000000000,map3d,camera,-0.185052037,0.012168385,7.560112953,-0.002086410578,-0.594913769412,-0.005015904273,0.803771170520,-0.019103174703,000171,136.452301481
172,172.000000000,map3d,camera,-0.256483316,0.014256424,7.587005615,-0.001787325071,-0.602520214219,-0.005492293557,0.798082722303,-0.024140364300,000172,137.250268156
