# timestamp tx ty tz qx qy qz qw
1770106678820364746 -3.809670 -0.092205 3.285786 0.003969 -0.407352 0.032637 0.912679
1770106679237142090 -3.848893 -0.104181 3.300256 0.001828 -0.352105 0.031128 0.935441
1770106679584265869 -3.874556 -0.134608 3.356730 0.004802 -0.301425 0.028697 0.953046
1770106679931155762 -3.916895 -0.127002 3.340810 0.006579 -0.233746 0.026030 0.971927
1770106680347244629 -3.943436 -0.131478 3.344772 0.000691 -0.229040 0.027756 0.973021
1770106680693953613 -3.972000 -0.157968 3.406852 0.001165 -0.240893 0.031129 0.970052
1770106681109910156 -3.975332 -0.171650 3.451684 0.001479 -0.264178 0.034419 0.963858
1770106681456390625 -3.988480 -0.193330 3.528698 -0.000334 -0.293415 0.035688 0.955319
1770106681802744385 -3.961130 -0.200961 3.589176 -0.003054 -0.309424 0.037746 0.950170
1770106682218166260 -3.996043 -0.215168 3.616507 -0.001771 -0.313920 0.033453 0.948858
1770106682564236084 -4.041667 -0.201621 3.662060 -0.005160 -0.300136 0.025102 0.953552
1770106682979542725 -4.070529 -0.154703 3.703985 -0.006946 -0.274938 0.023093 0.961159
1770106683325457764 -4.100692 -0.149483 3.733101 -0.004722 -0.256322 0.021180 0.966348
1770106683671497070 -4.115923 -0.154399 3.746341 -0.005742 -0.248596 0.019330 0.968397
1770106684086797363 -4.143096 -0.150911 3.819066 -0.004987 -0.240156 0.014667 0.970611
1770106684432743164 -4.165040 -0.159280 3.846878 -0.005964 -0.250721 0.021409 0.967804
1770106684778709473 -4.165092 -0.163910 3.889927 -0.006155 -0.283337 0.018726 0.958818
1770106685193725342 -4.156264 -0.168459 3.915339 -0.011236 -0.309053 0.027379 0.950584
1770106685539518555 -4.144966 -0.169083 3.938783 -0.012186 -0.354417 0.031675 0.934471
1770106685954794922 -4.141726 -0.187027 3.939992 -0.014050 -0.393858 0.027914 0.918640
1770106686300749512 -4.121092 -0.193936 3.973428 -0.017447 -0.448564 0.037060 0.892812
1770106686646708252 -4.094961 -0.207199 3.940199 -0.020596 -0.499442 0.042323 0.865068
1770106687060887451 -4.133564 -0.218416 4.032190 -0.019970 -0.538835 0.033452 0.841510
1770106687405869873 -4.181762 -0.208920 4.068684 -0.017915 -0.540753 0.035412 0.840245
1770106687817875977 -4.222565 -0.215613 4.116210 -0.019292 -0.518879 0.033675 0.853966
1770106688160155762 -4.273872 -0.222228 4.113822 -0.019664 -0.496375 0.028055 0.867432
1770106688502113770 -4.374006 -0.215768 4.139128 -0.020347 -0.448103 0.024359 0.893418
1770106688911420410 -4.441453 -0.211097 4.215670 -0.018224 -0.403559 0.020087 0.914552
1770106689251956787 -4.512215 -0.217007 4.269684 -0.018758 -0.350039 0.013168 0.936455
1770106689660033447 -4.570515 -0.208824 4.298364 -0.015895 -0.300412 0.011347 0.953610
1770106689999406250 -4.600509 -0.200120 4.294127 -0.012080 -0.234769 0.008607 0.971938
1770106690338303467 -4.635243 -0.216028 4.339295 -0.014299 -0.183800 0.004718 0.982848
1770106692430601807 -4.695136 -0.204093 4.390160 -0.010086 -0.113057 -0.004450 0.993527
1770106692604768799 -4.699847 -0.203491 4.423164 -0.007636 -0.062561 -0.009221 0.997969
1770106692683083740 -4.733081 -0.224571 4.446291 -0.008610 -0.004199 -0.015437 0.999835
1770106692797651123 -4.738979 -0.228076 4.466516 -0.007913 0.021895 -0.019305 0.999543
1770106691352469238 -4.750659 -0.229385 5.033672 -0.000162 0.276856 -0.027659 0.960513
1770106691554765869 -4.713809 -0.259957 5.059876 -0.000864 0.276569 -0.025396 0.960658
1770106693086120605 -4.701455 -0.258731 5.072011 0.000058 0.277020 -0.025480 0.960526
1770106691892003906 -4.763984 -0.244138 4.827095 -0.003161 0.161575 -0.029464 0.986415
